0001 0700	addwf
0002 0500	andwf
0003 0180	clrf
0004 0100	clrw
0005 0900	comf
0006 0300	decf
0007 0B00	decfsz
0008 0A00	incf
0009 0F00	incfsz
0010 0400	iorwf
0011 0800	movf
0012 0080	movwf
0013 0060	nop
0014 0D00	rlf
0015 0C00	rrf
0016 0200	subwf
0017 0E00	swapf
0018 0600	xorwf

0019 1000	bcf
0020 1400	bsf
0021 1800	btfsc
0022 1C00	btfss

0023 3E00	addlw
0024 3900	andlw
0025 2000	call
0026 0064	clrwdt
0027 2800	goto
0028 3800	iorlw
0029 3000	movlw
0030 0009	retfie
0031 3400	retlw
0032 0008	return
0033 0063	sleep
0034 3C00	sublw
0035 3A00	xorlw
